UID        PID  PPID  C STIME TTY          TIME CMD
root      1471   936  0 16:23 ?        00:00:00 /usr/bin/docker-proxy -proto tcp -host-ip 127.0.0.1 -host-port 8080 -container-ip 172.17.0.2 -container-port 8080
root      1477   926  0 16:23 ?        00:00:00 containerd-shim -namespace moby -workdir /var/lib/containerd/io.containerd.runtime.v1.linux/moby/7b979a7af7785217d1c5a58e7296fb7aaed912c61181af6d8467c062151e7fb2 -address /run/containerd/containerd.sock -containerd-binary /usr/bin/containerd -runtime-root /var/run/docker/runtime-runc
aubrean+  1504  1477  0 16:23 ?        00:00:00 /sbin/tini -- /usr/local/bin/jenkins.sh
aubrean+  1537  1504  0 16:23 ?        00:00:26 java -Duser.home=/var/jenkins_home -Djenkins.model.Jenkins.slaveAgentPort=50000 -jar /usr/share/jenkins/jenkins.war
aubrean+  1575  1537  0 16:23 ?        00:00:00 [jenkins.sh] <defunct>
www-data  1897   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1898   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1899   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1901   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1902   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1903   974  0 16:25 ?        00:00:00 /usr/sbin/apache2 -k start
www-data  1919  1903  0 16:30 ?        00:00:00 [sh] <defunct>
www-data  1923  1903  0 16:31 ?        00:00:00 [sh] <defunct>
www-data  2057  1903  0 16:47 ?        00:00:00 sh -c /bin/sh 
www-data  2058  2057  0 16:47 ?        00:00:00 /bin/sh
www-data  2059  2058  0 16:48 ?        00:00:00 python3 -c import pty; pty.spawn("/bin/bash")
www-data  2060  2059  0 16:48 pts/0    00:00:00 /bin/bash
root      2066  2060  0 16:48 pts/0    00:00:00 sudo -l
www-data  2067  1903  0 16:49 ?        00:00:00 [sh] <defunct>
www-data  2089  1903  0 16:56 ?        00:00:00 sh -c /bin/sh 
www-data  2090  2089  0 16:56 ?        00:00:00 /bin/sh
www-data  2092  2090  0 16:56 ?        00:00:00 python3 -c import pty; pty.spawn("/bin/bash")
www-data  2093  2092  0 16:56 pts/1    00:00:00 /bin/bash
root      2116     2  0 17:09 ?        00:00:00 [kworker/u30:1]
root      2257     2  0 17:14 ?        00:00:00 [kworker/u30:0]
www-data  2277  2093  0 17:16 pts/1    00:00:00 ps -ef
